Transaktionsexport;;;;;;2026-09-05 14:43:46
;;;;;;
;;;;;;
Datum;Bokfört;Specifikation;Ort;Valuta;Utl. belopp;Belopp
2026-09-03;2026-09-04;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;45.0
2026-09-03;2026-09-04;JOE  THE JUICE NG AB;STOCKHOLM;SEK;0.0;92.0
2026-09-03;2026-09-04;SP GEGGAMOJA.COM;ENEBYBERG;SEK;0.0;1674.45
2026-09-02;2026-09-03;APPLE.COM/BILL;CORK;SEK;0.0;995.0
2026-09-02;2026-09-03;FOODORA AB;STOCKHOLM;SEK;0.0;403.0
2026-09-02;2026-09-03;KAPPAHL GOETEBORG AVEN;GOETEBORG;SEK;0.0;448.0
2026-09-01;2026-09-02;BILIA;SOLNA;SEK;0.0;189.0
2026-09-01;2026-09-02;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;101.0
2026-09-01;2026-09-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;186.41
2026-08-31;2026-09-01;7-ELEVEN KUNGSPORTSAVE;GOETEBORG;SEK;0.0;29.0
2026-08-31;2026-09-03;STAR BOWLING GA.TEBORG;GA.TEBORG;SEK;0.0;440.0
2026-08-31;2026-09-01;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;38.0
2026-08-31;2026-09-01;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;288.13
2026-08-31;2026-09-01;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;519.84
2026-08-30;2026-08-31;7-ELEVEN 4116157;GOTEBORG;SEK;0.0;78.0
2026-08-30;2026-08-31;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;64.0
2026-08-30;2026-08-31;AKADEMIBOKHANDE;GÖTEBORG;SEK;0.0;388.0
2026-08-30;2026-08-31;TV4 AKTIEBOLAG;STOCKHOLM;SEK;0.0;399.0
2026-08-29;2026-08-30;7-ELEVEN KUNGSPORTSAVE;GOETEBORG;SEK;0.0;80.0
2026-08-29;2026-08-30;LEMON GARDEN GOTEBORG.;GOTEBORG;SEK;0.0;499.0
2026-08-29;2026-08-30;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;163.25
2026-08-29;2026-08-30;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;196.32
2026-08-28;2026-08-29;BEETS SALADS BAR;GOTEBORG;SEK;0.0;198.0
2026-08-28;2026-08-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-08-28;2026-08-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;105.87
2026-08-27;2026-08-28;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;615.07
2026-08-27;2026-08-28;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;42.0
2026-08-27;2026-08-28;LIDL329GBGKUNGSGATAN;GOTEBORG;SEK;0.0;49.86
2026-08-27;2026-08-28;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;286.59
2026-08-26;2026-08-27;7-ELEVEN KUNGSPORTSAVE;GOETEBORG;SEK;0.0;57.0
